FASB157,Net Asset Value,Price Confirm,Asset Liability,Portfolio,Portfolio Name,Value Date,Investment Currency, Quantity , Account Type , Finance Account , FX Rate , Market Price , Book Market Price ,Price Date,Price Source,PM Price Source, Unit Cost , Local Cost , Book Cost Not , Local Mkt Value , Book Mkt Value , Local Cost Not , Book Curr Not , Local Curr Not , Book Unit Cost , Book Accrued Interest , Local Accrued Interest ,Strategy,Custodian Code,Custodian Account,Legal Entity,Investment,Security Description,Base Currency,IG NonIG,Custodian Name,Report Group Name,Source,Last Updated By,Last Updated Date,Top Level SecType,Mid Level SecType,Third Level SecType,FASB157
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,11.00,, N.A. ,1,223.66,223.66,12/29/2017,Bloomberg,,,,30400,30400,30400,30400,,,224.34, -   , -   ,,CITIGROUP,,,Position 304,Position 304,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-99.00,, DividendsPayable ,1,1,1,12/29/2017,Bloomberg,,,,30500,30500,30500,30500,,,1, -   , -   ,,_WELLS_FARGO_CASH,,,Position 305,Position 305,USD,Indeterminate,_WELLS_FARGO_CASH,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,427.00,, N.A. ,1,31.99,31.99,12/29/2017,Bloomberg,,,,30600,30600,30600,30600,,,31.97, -   , -   ,,CREDIT SUISSE,,,Position 306,Position 306,USD,Indeterminate,Credit Suisse,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,765.00,, N.A. ,1,56.92,56.92,12/29/2017,Bloomberg,,,,30700,30700,30700,30700,,,57.86, -   , -   ,,_WELLS_FARGO_CASH,,,Position 307,Position 307,USD,Indeterminate,_WELLS_FARGO_CASH,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-150.00,, N.A. ,1,16.14,16.14,12/29/2017,Bloomberg,,,,30800,30800,30800,30800,,,15.61, -   , -   ,,CREDIT SUISSE,,,Position 308,Position 308,USD,Indeterminate,Credit Suisse,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,"-1,169.00",, N.A. ,1, -   , -   ,12/29/2017,Bloomberg,,,,30900,30900,30900,30900,,,7.22, -   , -   ,,CITIGROUP,,,Position 309,Position 309,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,Non-US Common Stock,Level 1
Level 2,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,267.00,, N.A. ,1,30.49,30.49,12/29/2017,Bloomberg,,,,31000,31000,31000,31000,,, -   , -   , -   ,,MORGAN STANLEY,,,Position 310,Position 310,USD,Indeterminate,Morgan Stanley,,,,43109.33611,OTC Derivative Contracts,Total Return Swap,TR Swap - Single Name Equity,Level 2
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 1,12/31/2017,USD       ,"1,335.00",, N.A. ,1,0.16,0.16,12/29/2017,Bloomberg,,,,31100,31100,31100,31100,,,0.16, -   , -   ,,OTHER,,,Position 311,Position 311,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,470.00,, N.A. ,1,28.48,28.48,12/29/2017,Bloomberg,,,,31200,31200,31200,31200,,,24.5, -   , -   ,,CREDIT SUISSE,,,Position 312,Position 312,USD,Indeterminate,Credit Suisse,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-92.00,, N.A. ,1,208.26,208.26,12/29/2017,Bloomberg,,,,31300,31300,31300,31300,,,183.08, -   , -   ,,CREDIT SUISSE,,,Position 313,Position 313,USD,Indeterminate,Credit Suisse,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,989.00,, N.A. ,1,63.32,63.32,12/29/2017,Bloomberg,,,,31400,31400,31400,31400,,,44.53, -   , -   ,,CITIGROUP,,,Position 314,Position 314,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 1,12/31/2017,USD       ,10.00,, N.A. ,1,7.23,7.23,12/29/2017,Bloomberg,,,,31500,31500,31500,31500,,,7.32, -   , -   ,,OTHER,,,Position 315,Position 315,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,EUR       ,179.00,, Cash ,1.2,1.2,1.2,12/29/2017,Bloomberg,,,,31600,31600,31600,31600,,,1.11, -   , -   ,,CITIGROUP,,,Position 316,Position 316,USD,Indeterminate,CitiGroup,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-32.00,, N.A. ,1, -   , -   ,12/29/2017,Bloomberg,,,,31700,31700,31700,31700,,,50.77, -   , -   ,,CREDIT SUISSE,,,Position 317,Position 317,USD,Indeterminate,Credit Suisse,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 2,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,GBP       ,"-15,101.00",, N.A. ,1.35,1,1.35,12/31/2017,Bloomberg,,,,31800,31800,31800,31800,,,1.34, -   , -   ,,MORGAN STANLEY,,,Position 318,Position 318,USD,Indeterminate,Morgan Stanley,,,,43109.33542,OTC Derivative Contracts,FX Forwards,FX Forwards,Level 2
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 1,12/31/2017,USD       ,44.00,, N.A. ,1,1.38,1.38,12/29/2017,Bloomberg,,,,31900,31900,31900,31900,,,1.4, -   , -   ,,OTHER,,,Position 319,Position 319,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,"-1,021.00",, N.A. ,1,37.74,37.74,12/29/2017,Bloomberg,,,,32000,32000,32000,32000,,,35.88, -   , -   ,,CITIGROUP,,,Position 320,Position 320,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,2,, Interest Receivable Broker ,1,1,1,12/29/2017,Bloomberg,,,,32100,32100,32100,32100,,,1, -   , -   ,,MS COLLATERAL_CASH,,,Position 321,Position 321,USD,Indeterminate,MS Collateral_Cash,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 1,12/31/2017,USD       ,63.00,, N.A. ,1,14.11,14.11,12/29/2017,Bloomberg,,,,32200,32200,32200,32200,,,5.51, -   , -   ,,OTHER,,,Position 322,Position 322,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-163.00,, N.A. ,1,65.25,65.25,12/29/2017,Bloomberg,,,,32300,32300,32300,32300,,,59.21, -   , -   ,,MORGAN STANLEY,,,Position 323,Position 323,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,656.00,, N.A. ,1,13.33,13.33,12/29/2017,Bloomberg,,,,32400,32400,32400,32400,,,6.8, -   , -   ,,STATE STREET,,,Position 324,Position 324,USD,Indeterminate,State Street,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-231.00,, N.A. ,1,35.35,35.35,12/29/2017,Bloomberg,,,,32500,32500,32500,32500,,,36.45, -   , -   ,,CITIGROUP,,,Position 325,Position 325,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 2,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,"1,211.00",, N.A. ,1,1,1,12/31/2017,Bloomberg,,,,32600,32600,32600,32600,,,1, -   , -   ,,MORGAN STANLEY,,,Position 326,Position 326,USD,Indeterminate,Morgan Stanley,,,,43109.33542,OTC Derivative Contracts,FX Forwards,FX Forwards,Level 2
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,36.00,, N.A. ,1,154.68,154.68,12/29/2017,Bloomberg,,,,32700,32700,32700,32700,,,136.11, -   , -   ,,CITIGROUP,,,Position 327,Position 327,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,3,, Interest Income Receivable ,1,1,1,12/29/2017,Bloomberg,,,,32800,32800,32800,32800,,,1, -   , -   ,,MORGAN STANLEY,,,Position 328,Position 328,USD,Indeterminate,Morgan Stanley,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 2,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,"6,070.00",, N.A. ,1,98.02,98.02,12/29/2017,Bloomberg,,,,32900,32900,32900,32900,,,99.9,-202.33,-202.33,,CITIGROUP,,,Position 329,Position 329,USD,Indeterminate,CitiGroup,,,,43109.33403,OTC Derivative Contracts,Credit Derivatives,CDS - New,Level 2
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,634.00,, N.A. ,1,55.01,55.01,12/29/2017,Bloomberg,,,,33000,33000,33000,33000,,,52.98, -   , -   ,,CITIGROUP,,,Position 330,Position 330,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-36.00,, N.A. ,1,71.28,71.28,12/29/2017,Bloomberg,,,,33100,33100,33100,33100,,,62.96, -   , -   ,,CREDIT SUISSE,,,Position 331,Position 331,USD,Indeterminate,Credit Suisse,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-172.00,, N.A. ,1,36.4,36.4,12/29/2017,Bloomberg,,,,33200,33200,33200,33200,,,40.78, -   , -   ,,_WELLS_FARGO_CASH,,,Position 332,Position 332,USD,Indeterminate,_WELLS_FARGO_CASH,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 1,12/31/2017,USD       ,"1,435.00",, N.A. ,1,3.71,3.71,12/29/2017,Bloomberg,,,,33300,33300,33300,33300,,,2.83, -   , -   ,,OTHER,,,Position 333,Position 333,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-26.00,, DividendsPayable ,1,1,1,12/29/2017,Bloomberg,,,,33400,33400,33400,33400,,,1, -   , -   ,,MORGAN STANLEY,,,Position 334,Position 334,USD,Indeterminate,Morgan Stanley,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,0,, N.A. ,1, -   , -   ,12/29/2017,Bloomberg,,,,33500,33500,33500,33500,,,"13,942.79", -   , -   ,,CITIGROUP,,,Position 335,Position 335,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-212.00,, N.A. ,1,34.46,34.46,12/29/2017,Bloomberg,,,,33600,33600,33600,33600,,,37.59, -   , -   ,,_WELLS_FARGO_CASH,,,Position 336,Position 336,USD,Indeterminate,_WELLS_FARGO_CASH,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,22.00,, Interest Receivable Broker ,1,1,1,12/29/2017,Bloomberg,,,,33700,33700,33700,33700,,,1, -   , -   ,,STATE STREET,,,Position 337,Position 337,USD,Indeterminate,State Street,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 2,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,"-29,260.00",, N.A. ,1,1,1,12/31/2017,Bloomberg,,,,33800,33800,33800,33800,,,1, -   , -   ,,MORGAN STANLEY,,,Position 338,Position 338,USD,Indeterminate,Morgan Stanley,,,,43109.33542,OTC Derivative Contracts,FX Forwards,FX Forwards,Level 2
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-329.00,, N.A. ,1,46.16,46.16,12/29/2017,Bloomberg,,,,33900,33900,33900,33900,,,35.75, -   , -   ,,CREDIT SUISSE,,,Position 339,Position 339,USD,Indeterminate,Credit Suisse,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-4,, N.A. ,1,2.36,2.36,12/29/2017,Bloomberg,,,,34000,34000,34000,34000,,,92.43, -   , -   ,,CITIGROUP,,,Position 340,Position 340,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,0,, Interest Receivable Broker ,1,1,1,12/29/2017,Bloomberg,,,,34100,34100,34100,34100,,,1, -   , -   ,,J.P. MORGAN - COLLATERAL,,,Position 341,Position 341,USD,Indeterminate,J.P. MORGAN - collateral,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,"2,224.00",, SpotFxReceivable ,1,1,1,12/29/2017,Bloomberg,,,,34200,34200,34200,34200,,,1, -   , -   ,,CITIGROUP,,,Position 342,Position 342,USD,Indeterminate,CitiGroup,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-61.00,, N.A. ,1,97.61,97.61,12/29/2017,Bloomberg,,,,34300,34300,34300,34300,,,99.29, -   , -   ,,MORGAN STANLEY,,,Position 343,Position 343,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 1,12/31/2017,USD       ,715.00,, N.A. ,1,0.67,0.67,12/29/2017,Bloomberg,,,,34400,34400,34400,34400,,,0.48, -   , -   ,,OTHER,,,Position 344,Position 344,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 1,12/31/2017,USD       ,40.00,, N.A. ,1,14.12,14.12,12/29/2017,Bloomberg,,,,34500,34500,34500,34500,,,10.05, -   , -   ,,OTHER,,,Position 345,Position 345,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-30.00,, N.A. ,1,82.84,82.84,12/29/2017,Bloomberg,,,,34600,34600,34600,34600,,,82.8, -   , -   ,,CITIGROUP,,,Position 346,Position 346,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 2,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,"1,517.00",, N.A. ,1,"3,495.00",31.02,12/29/2017,Bloomberg,,,,34700,34700,34700,34700,,, -   , -   , -   ,,MORGAN STANLEY,,,Position 347,Position 347,USD,Indeterminate,Morgan Stanley,,,,43109.33611,OTC Derivative Contracts,Total Return Swap,TR Swap - Single Name Equity,Level 2
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 1,12/31/2017,USD       ,196.00,, N.A. ,1,10.18,10.18,12/29/2017,Bloomberg,,,,34800,34800,34800,34800,,,10.43, -   , -   ,,OTHER,,,Position 348,Position 348,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-202.00,, N.A. ,1,46.16,46.16,12/29/2017,Bloomberg,,,,34900,34900,34900,34900,,,39.07, -   , -   ,,CITIGROUP,,,Position 349,Position 349,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-33.00,, DividendsPayable ,1,1,1,12/29/2017,Bloomberg,,,,35000,35000,35000,35000,,,1, -   , -   ,,_WELLS_FARGO_CASH,,,Position 350,Position 350,USD,Indeterminate,_WELLS_FARGO_CASH,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-209.00,, N.A. ,1,48.87,48.87,12/29/2017,Bloomberg,,,,35100,35100,35100,35100,,,43.87, -   , -   ,,_WELLS_FARGO_CASH,,,Position 351,Position 351,USD,Indeterminate,_WELLS_FARGO_CASH,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,2,, Accrued Interest Payable - Broker ,1,1,1,12/29/2017,Bloomberg,,,,35200,35200,35200,35200,,,1, -   , -   ,,CITIGROUP,,,Position 352,Position 352,USD,Indeterminate,CitiGroup,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,EUR       ,227.00,, N.A. ,1.2,31.54,37.86,12/29/2017,Bloomberg,,,,35300,35300,35300,35300,,,34.32, -   , -   ,,CITIGROUP,,,Position 353,Position 353,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,Non-US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-456.00,, N.A. ,1,71.28,71.28,12/29/2017,Bloomberg,,,,35400,35400,35400,35400,,,64.49, -   , -   ,,MORGAN STANLEY,,,Position 354,Position 354,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-139.00,, N.A. ,1,135.73,135.73,12/29/2017,Bloomberg,,,,35500,35500,35500,35500,,,101.5, -   , -   ,,MORGAN STANLEY,,,Position 355,Position 355,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,0,, N.A. ,1,60.42,60.42,12/29/2017,Bloomberg,,,,35600,35600,35600,35600,,,56.21, -   , -   ,,CITIGROUP,,,Position 356,Position 356,USD,Indeterminate,CitiGroup,,,,43109.30903,Derivative Contracts,Commodity Future,Commodity Future,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,HKD       ,-16.00,, Cash ,0.13,0.13,0.13,12/29/2017,Bloomberg,,,,35700,35700,35700,35700,,,0.13, -   , -   ,,MORGAN STANLEY,,,Position 357,Position 357,USD,Indeterminate,Morgan Stanley,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-184.00,, N.A. ,1,193.5,193.5,12/29/2017,Bloomberg,,,,35800,35800,35800,35800,,,192.32, -   , -   ,,CITIGROUP,,,Position 358,Position 358,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-176.00,, DividendsPayable ,1,1,1,12/29/2017,Bloomberg,,,,35900,35900,35900,35900,,,1, -   , -   ,,CREDIT SUISSE,,,Position 359,Position 359,USD,Indeterminate,Credit Suisse,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-389.00,, N.A. ,1,76.46,76.46,12/29/2017,Bloomberg,,,,36000,36000,36000,36000,,,69.34, -   , -   ,,CITIGROUP,,,Position 360,Position 360,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,"-2,003.00",, Other Receivable ,1,1,1,12/29/2017,Bloomberg,,,,36100,36100,36100,36100,,,1, -   , -   ,,MORGAN STANLEY,,,Position 361,Position 361,USD,Indeterminate,Morgan Stanley,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-2,, Accrued Interest Payable - Broker ,1,1,1,12/29/2017,Bloomberg,,,,36200,36200,36200,36200,,,1, -   , -   ,,CITIBANK,,,Position 362,Position 362,USD,Indeterminate,Citibank,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-13.00,, N.A. ,1,46.16,46.16,12/29/2017,Bloomberg,,,,36300,36300,36300,36300,,,35.65, -   , -   ,,MORGAN STANLEY,,,Position 363,Position 363,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-89.00,, N.A. ,1,97.61,97.61,12/29/2017,Bloomberg,,,,36400,36400,36400,36400,,,91.87, -   , -   ,,CITIGROUP,,,Position 364,Position 364,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,37.00,, N.A. ,1,85.54,85.54,12/29/2017,Bloomberg,,,,36500,36500,36500,36500,,,62.75, -   , -   ,,STATE STREET,,,Position 365,Position 365,USD,Indeterminate,State Street,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-346.00,, N.A. ,1,74,74,12/29/2017,Bloomberg,,,,36600,36600,36600,36600,,,54.43, -   , -   ,,MORGAN STANLEY,,,Position 366,Position 366,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-313.00,, N.A. ,1, -   , -   ,12/29/2017,Bloomberg,,,,36700,36700,36700,36700,,,21.35, -   , -   ,,CITIGROUP,,,Position 367,Position 367,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,51.00,, N.A. ,1,57.55,57.55,12/29/2017,Bloomberg,,,,36800,36800,36800,36800,,,17.73, -   , -   ,,STATE STREET,,,Position 368,Position 368,USD,Indeterminate,State Street,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 2,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,12.00,, N.A. ,1,0.01,0.01,12/29/2017,Bloomberg,,,,36900,36900,36900,36900,,,0.39, -   , -   ,,MORGAN STANLEY,,,Position 369,Position 369,USD,Indeterminate,Morgan Stanley,,,,43109.34097,Derivative Contracts,Listed Equity Option,Listed Equity Option,Level 2
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,87.00,, N.A. ,1,188.96,188.96,12/29/2017,Bloomberg,,,,37000,37000,37000,37000,,,190.13, -   , -   ,,CREDIT SUISSE,,,Position 370,Position 370,USD,Indeterminate,Credit Suisse,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
